maxQuiescenceDepth, maxCheckSearchDepth, nullMoveReduction, minExtensionHorizon, simpleCheckExtension, attackCheckExtension, forcedMoveExtension, mateExtension, rankAttackExtension, pawnOnSevenRankExtension, protectingPawnOnSixRankExtension, recaptureMinExtension, recaptureMaxExtension, recaptureBeginMinTreshold, recaptureBeginMaxTreshold, recaptureTargetTreshold, totalTime, totalNodeCount
19, 4, 5, 5, 0.2626953125, 0.72265625, 0.7578125, 0.892578125, 0.6005859375, 0.9990234375, 0.98046875, 0.2890625, 0.701171875, 0.01, 1.473, 0.053, 20976, 37167985
14, 7, 4, 2, 0.9990234375, 0.9990234375, 0.8349609375, 0.634765625, 0.87890625, 0.6015625, 0.9990234375, 0.0458984375, 0.76171875, 0.0, 6.889, 0.0, 20973, 37031541
9, 8, 5, 7, 0.3369140625, 0.904296875, 0.9990234375, 0.6708984375, 0.9892578125, 0.9990234375, 0.9990234375, 0.0, 0.880859375, 1.846, 4.208, 0.0, 20566, 36343603
10, 9, 3, 7, 0.236328125, 0.9990234375, 0.8896484375, 0.9990234375, 0.9990234375, 0.9990234375, 0.9990234375, 0.0, 0.6806640625, 3.675, 5.34, 3.201, 20771, 36688951
13, 6, 4, 7, 0.9990234375, 0.9990234375, 0.59765625, 0.9990234375, 0.9384765625, 0.9990234375, 0.9990234375, 0.0, 0.9833984375, 1.56, 3.658, 0.543, 20566, 35716704
3, 2, 4, 5, 0.412109375, 0.833984375, 0.9990234375, 0.9990234375, 0.9990234375, 0.86328125, 0.9990234375, 0.1484375, 0.93359375, 0.076, 0.077, 1.268, 21968, 40891112
14, 13, 5, 7, 0.7197265625, 0.8173828125, 0.9990234375, 0.9990234375, 0.3583984375, 0.9990234375, 0.9599609375, 0.3828125, 0.833984375, 1.465, 1.466, 5.869, 21170, 38613675
6, 5, 4, 7, 0.7958984375, 0.8701171875, 0.5888671875, 0.859375, 0.4970703125, 0.92578125, 0.6513671875, 0.0, 0.9990234375, 3.367, 3.633, 4.015, 21771, 39358929
1, 0, 3, 2, 0.9990234375, 0.9990234375, 0.564453125, 0.9990234375, 0.9990234375, 0.9306640625, 0.9287109375, 0.0, 0.8955078125, 1.095, 3.91, 0.0, 20563, 35511094
19, 11, 2, 7, 0.7978515625, 0.9990234375, 0.4296875, 0.9697265625, 0.423828125, 0.9990234375, 0.9990234375, 0.203125, 0.81640625, 2.026, 3.731, 6.533, 20159, 35484327
6, 3, 5, 5, 0.548828125, 0.884765625, 0.5205078125, 0.80078125, 0.8359375, 0.9990234375, 0.9990234375, 0.0234375, 0.89453125, 3.014, 7.129, 0.0, 19966, 35086182
10, 8, 5, 6, 0.4384765625, 0.9990234375, 0.8115234375, 0.9990234375, 0.8984375, 0.9990234375, 0.9990234375, 0.0, 0.654296875, 0.0, 3.551, 2.354, 20367, 34482112
4, 3, 5, 3, 0.376953125, 0.9990234375, 0.849609375, 0.9990234375, 0.9990234375, 0.775390625, 0.8232421875, 0.4951171875, 0.9326171875, 1.462, 5.004, 0.0, 20569, 36354187
19, 2, 5, 4, 0.302734375, 0.9619140625, 0.296875, 0.9990234375, 0.72265625, 0.908203125, 0.83984375, 0.0, 0.5205078125, 0.8, 4.451, 0.0, 20566, 36308849
